gene alpha_original SE_original P_original N_original Phet_original alpha SE P Nend Phet
ENSG00000132669 -0.00658 0.03851 0.864 121 0.986 -0.00658 0.03851 0.864 121 0.986
ENSG00000132670 -0.00336 0.03523 0.924 124 0.975 -0.00336 0.03523 0.924 124 0.975
ENSG00000132676 -0.01849 0.03521 0.599 123 0.498 -0.01849 0.03521 0.599 123 0.498
ENSG00000132680 -0.03691 0.0351 0.293 123 0.993 -0.03691 0.0351 0.293 123 0.993
ENSG00000132681 0.04703 0.03537 0.184 121 0.992 0.04703 0.03537 0.184 121 0.992
ENSG00000132694 -0.00921 0.03504 0.793 124 0.961 -0.00921 0.03504 0.793 124 0.961
ENSG00000132698 0.03188 0.03576 0.373 121 0.914 0.03188 0.03576 0.373 121 0.914
ENSG00000132704 0.0453 0.03538 0.2 121 0.631 0.0453 0.03538 0.2 121 0.631
ENSG00000132716 0.04082 0.03909 0.296 116 0.686 0.04082 0.03909 0.296 116 0.686
ENSG00000132718 0.0787 0.03542 0.0263 123 0.974 0.0787 0.03542 0.0263 123 0.974
ENSG00000132740 0.01507 0.03558 0.672 118 0.949 0.01507 0.03558 0.672 118 0.949
ENSG00000132744 0.00564 0.03864 0.884 121 0.971 0.00564 0.03864 0.884 121 0.971
ENSG00000132746 -0.01071 0.03592 0.766 118 0.988 -0.01071 0.03592 0.766 118 0.988
ENSG00000132749 -0.0035 0.03559 0.922 119 0.994 -0.0035 0.03559 0.922 119 0.994
ENSG00000132763 -0.00542 0.03553 0.879 119 0.938 -0.00542 0.03553 0.879 119 0.938
ENSG00000132768 -0.00627 0.0351 0.858 124 0.836 -0.00627 0.0351 0.858 124 0.836
ENSG00000132773 0.03342 0.03566 0.349 118 0.983 0.03342 0.03566 0.349 118 0.983
ENSG00000132780 0.10433 0.05408 0.0537 109 1 0.10433 0.05408 0.0537 109 1
ENSG00000132781 -0.08297 0.03535 0.0189 123 0.995 -0.08297 0.03535 0.0189 123 0.995
ENSG00000132792 0.04913 0.03522 0.163 124 0.984 0.04913 0.03522 0.163 124 0.984
ENSG00000132793 -0.04836 0.0364 0.184 120 0.828 -0.04836 0.0364 0.184 120 0.828
ENSG00000132801 0.04253 0.0352 0.227 124 0.976 0.04253 0.0352 0.227 124 0.976
ENSG00000132819 0.04425 0.03578 0.216 118 0.463 0.04425 0.03578 0.216 118 0.463
ENSG00000132821 -0.01222 0.03658 0.738 124 0.905 -0.01222 0.03658 0.738 124 0.905
ENSG00000132823 -0.06329 0.03937 0.108 121 0.976 -0.06329 0.03937 0.108 121 0.976
ENSG00000132824 0.00434 0.03518 0.902 124 0.837 0.00434 0.03518 0.902 124 0.837
ENSG00000132825 -0.0298 0.03546 0.401 120 0.757 -0.0298 0.03546 0.401 120 0.757
ENSG00000132832 -0.02213 0.09593 0.818 80 1 -0.02213 0.09593 0.818 80 1
ENSG00000132842 0.04195 0.03571 0.24 119 0.624 0.04195 0.03571 0.24 119 0.624
ENSG00000132846 -0.13272 0.03599 0.000226 119 0.989 -0.13272 0.03599 0.000226 119 0.989
ENSG00000132849 0.06185 0.03578 0.0839 118 0.708 0.06185 0.03578 0.0839 118 0.708
ENSG00000132874 0.05179 0.03578 0.148 123 0.896 0.05179 0.03578 0.148 123 0.896
ENSG00000132879 0.00887 0.03556 0.803 120 0.88 0.00887 0.03556 0.803 120 0.88
ENSG00000132881 0.02793 0.03972 0.482 122 0.998 0.02793 0.03972 0.482 122 0.998
ENSG00000132906 -0.01742 0.03516 0.62 124 0.932 -0.01742 0.03516 0.62 124 0.932
ENSG00000132912 -0.0483 0.03541 0.173 120 0.799 -0.0483 0.03541 0.173 120 0.799
ENSG00000132932 0.0012 0.03515 0.973 123 0.992 0.0012 0.03515 0.973 123 0.992
ENSG00000132938 -0.02539 0.03575 0.478 122 0.934 -0.02539 0.03575 0.478 122 0.934
ENSG00000132950 0.00877 0.03547 0.805 122 1 0.00877 0.03547 0.805 122 1
ENSG00000132952 0.02558 0.03527 0.468 122 0.483 0.02558 0.03527 0.468 122 0.483
ENSG00000132953 -0.02214 0.03525 0.53 123 0.944 -0.02214 0.03525 0.53 123 0.944
ENSG00000132963 -0.0168 0.03548 0.636 122 0.924 -0.0168 0.03548 0.636 122 0.924
ENSG00000132964 -0.03471 0.05408 0.521 113 1 -0.03471 0.05408 0.521 113 1
ENSG00000132965 0.03173 0.0359 0.377 117 0.673 0.03173 0.0359 0.377 117 0.673
ENSG00000132967 -0.03588 0.09747 0.713 79 1 -0.03588 0.09747 0.713 79 1
ENSG00000132970 -0.021 0.03498 0.548 125 0.941 -0.021 0.03498 0.548 125 0.941
ENSG00000132972 0.00428 0.0355 0.904 126 0.809 0.00428 0.0355 0.904 126 0.809
ENSG00000133019 0.01249 0.03642 0.732 124 0.98 0.01249 0.03642 0.732 124 0.98
ENSG00000133026 -0.01811 0.0389 0.641 116 0.935 -0.01811 0.0389 0.641 116 0.935
ENSG00000133027 -0.01332 0.03497 0.703 126 0.711 -0.01332 0.03497 0.703 126 0.711
ENSG00000133028 -0.05272 0.03516 0.134 123 0.962 -0.05272 0.03516 0.134 123 0.962
ENSG00000133030 0.00162 0.03723 0.965 117 0.654 0.00162 0.03723 0.965 117 0.654
ENSG00000133048 -0.02656 0.03932 0.499 120 0.984 -0.02656 0.03932 0.499 120 0.984
ENSG00000133055 0.01686 0.03572 0.637 120 0.969 0.01686 0.03572 0.637 120 0.969
ENSG00000133056 0.03777 0.03552 0.288 120 0.682 0.03777 0.03552 0.288 120 0.682
ENSG00000133059 -0.00242 0.03532 0.945 123 0.994 -0.00242 0.03532 0.945 123 0.994
ENSG00000133063 0.01978 0.0393 0.615 119 0.847 0.01978 0.0393 0.615 119 0.847
ENSG00000133065 0.05686 0.03517 0.106 123 0.977 0.05686 0.03517 0.106 123 0.977
ENSG00000133067 0.04024 0.03801 0.29 120 0.114 0.04024 0.03801 0.29 120 0.114
ENSG00000133069 -0.00054 0.03567 0.988 118 0.873 -0.00054 0.03567 0.988 118 0.873
ENSG00000133101 0.01567 0.05429 0.773 110 1 0.01567 0.05429 0.773 110 1
ENSG00000133103 -0.02545 0.03506 0.468 124 0.966 -0.02545 0.03506 0.468 124 0.966
ENSG00000133104 -0.02375 0.03555 0.504 118 0.896 -0.02375 0.03555 0.504 118 0.896
ENSG00000133105 -0.03886 0.03567 0.276 123 0.975 -0.03886 0.03567 0.276 123 0.975
ENSG00000133106 -0.05236 0.0358 0.144 123 0.968 -0.05236 0.0358 0.144 123 0.968
ENSG00000133111 -0.06456 0.0354 0.0681 121 0.961 -0.06456 0.0354 0.0681 121 0.961
ENSG00000133112 -0.04671 0.04173 0.263 115 0.732 -0.04671 0.04173 0.263 115 0.732
ENSG00000133114 -0.01003 0.03486 0.773 129 0.981 -0.01003 0.03486 0.773 129 0.981
ENSG00000133116 -0.06526 0.03542 0.0654 121 0.871 -0.06526 0.03542 0.0654 121 0.871
ENSG00000133119 -0.07177 0.03532 0.0422 121 0.625 -0.07177 0.03532 0.0422 121 0.625
ENSG00000133121 0.02432 0.03566 0.495 125 0.986 0.02432 0.03566 0.495 125 0.986
ENSG00000133131 0.05667 0.07218 0.432 89 1 0.05667 0.07218 0.432 89 1
ENSG00000133134 0.01303 0.06902 0.85 104 1 0.01303 0.06902 0.85 104 1
ENSG00000133138 0.01707 0.07025 0.808 97 1 0.01707 0.07025 0.808 97 1
ENSG00000133142 -0.01178 0.07058 0.867 97 1 -0.01178 0.07058 0.867 97 1
ENSG00000133169 -0.01622 0.07153 0.821 95 1 -0.01622 0.07153 0.821 95 1
ENSG00000133193 0.00934 0.03554 0.793 120 0.502 0.00934 0.03554 0.793 120 0.502
ENSG00000133195 -0.00322 0.0353 0.927 122 0.918 -0.00322 0.0353 0.927 122 0.918
ENSG00000133216 0.01345 0.03515 0.702 125 0.979 0.01345 0.03515 0.702 125 0.979
ENSG00000133226 0.00168 0.05376 0.975 112 1 0.00168 0.05376 0.975 112 1
ENSG00000133243 0.00852 0.03868 0.826 121 0.985 0.00852 0.03868 0.826 121 0.985
ENSG00000133246 0.05707 0.05441 0.294 108 1 0.05707 0.05441 0.294 108 1
ENSG00000133247 0.00736 0.03519 0.834 124 0.874 0.00736 0.03519 0.834 124 0.874
ENSG00000133250 -0.00398 0.0351 0.91 124 0.909 -0.00398 0.0351 0.91 124 0.909
ENSG00000133256 0.01573 0.03928 0.689 122 0.999 0.01573 0.03928 0.689 122 0.999
ENSG00000133265 0.01615 0.05405 0.765 110 1 0.01615 0.05405 0.765 110 1
ENSG00000133275 0.00262 0.03568 0.941 120 0.393 0.00262 0.03568 0.941 120 0.393
ENSG00000133302 -0.01735 0.03545 0.625 120 0.504 -0.01735 0.03545 0.625 120 0.504
ENSG00000133313 0.02456 0.03526 0.486 124 0.907 0.02456 0.03526 0.486 124 0.907
ENSG00000133315 0.02132 0.05546 0.701 103 1 0.02132 0.05546 0.701 103 1
ENSG00000133316 -0.00267 0.03559 0.94 120 0.846 -0.00267 0.03559 0.94 120 0.846
ENSG00000133317 -0.08519 0.03542 0.0162 120 0.95 -0.08519 0.03542 0.0162 120 0.95
ENSG00000133318 0.01022 0.03597 0.776 116 0.894 0.01022 0.03597 0.776 116 0.894
ENSG00000133321 -0.0366 0.03909 0.349 117 0.912 -0.0366 0.03909 0.349 117 0.912
ENSG00000133328 -0.01189 0.03507 0.734 125 0.872 -0.01189 0.03507 0.734 125 0.872
ENSG00000133392 -0.02893 0.03596 0.421 122 0.998 -0.02893 0.03596 0.421 122 0.998
ENSG00000133393 -0.07159 0.03962 0.0708 117 0.999 -0.07159 0.03962 0.0708 117 0.999
ENSG00000133398 -0.04608 0.03536 0.193 121 0.936 -0.04608 0.03536 0.193 121 0.936
ENSG00000133401 -0.06531 0.03883 0.0926 119 0.995 -0.06531 0.03883 0.0926 119 0.995
ENSG00000133422 0.06054 0.03559 0.0889 120 0.772 0.06054 0.03559 0.0889 120 0.772
ENSG00000133424 0.06832 0.03512 0.0518 124 0.757 0.06832 0.03512 0.0518 124 0.757
ENSG00000133454 -0.01346 0.03523 0.702 122 0.971 -0.01346 0.03523 0.702 122 0.971
ENSG00000133460 0.00358 0.03504 0.919 126 0.994 0.00358 0.03504 0.919 126 0.994
ENSG00000133466 0.06436 0.03489 0.0651 127 0.852 0.06436 0.03489 0.0651 127 0.852
ENSG00000133475 0.04073 0.11829 0.731 73 1 0.04073 0.11829 0.731 73 1
ENSG00000133477 -0.09458 0.03535 0.00746 121 0.908 -0.09458 0.03535 0.00746 121 0.908
ENSG00000133488 0.05116 0.03614 0.157 127 0.3 0.05116 0.03614 0.157 127 0.3
ENSG00000133561 0.03009 0.03538 0.395 120 0.997 0.03009 0.03538 0.395 120 0.997
ENSG00000133574 -0.04956 0.03552 0.163 119 0.784 -0.04956 0.03552 0.163 119 0.784
ENSG00000133597 0.01496 0.0353 0.672 121 0.946 0.01496 0.0353 0.672 121 0.946
ENSG00000133606 -0.00066 0.05705 0.991 97 0.961 -0.00066 0.05705 0.991 97 0.961
ENSG00000133612 0.02134 0.03567 0.55 121 0.473 0.02134 0.03567 0.55 121 0.473
ENSG00000133619 0.01339 0.03877 0.73 121 0.603 0.01339 0.03877 0.73 121 0.603
ENSG00000133624 0.04183 0.03966 0.292 116 0.996 0.04183 0.03966 0.292 116 0.996
ENSG00000133627 -0.03631 0.03592 0.312 121 0.828 -0.03631 0.03592 0.312 121 0.828
ENSG00000133639 -0.1125 0.03894 0.00386 119 0.974 -0.1125 0.03894 0.00386 119 0.974
ENSG00000133641 0.0476 0.03513 0.175 124 0.951 0.0476 0.03513 0.175 124 0.951
ENSG00000133657 0.00668 0.03959 0.866 119 0.978 0.00668 0.03959 0.866 119 0.978
ENSG00000133661 -0.01496 0.03867 0.699 122 0.665 -0.01496 0.03867 0.699 122 0.665
ENSG00000133678 0.00279 0.03907 0.943 123 0.998 0.00279 0.03907 0.943 123 0.998
ENSG00000133687 0.01296 0.03524 0.713 123 0.934 0.01296 0.03524 0.713 123 0.934
ENSG00000133703 0.06466 0.03529 0.0669 121 0.837 0.06466 0.03529 0.0669 121 0.837
ENSG00000133704 -0.0203 0.03519 0.564 123 0.868 -0.0203 0.03519 0.564 123 0.868
ENSG00000133706 0.01575 0.03521 0.655 125 0.485 0.01575 0.03521 0.655 125 0.485
ENSG00000133731 -0.02799 0.03547 0.43 118 0.559 -0.02799 0.03547 0.43 118 0.559
ENSG00000133739 -0.02727 0.03532 0.44 120 0.915 -0.02727 0.03532 0.44 120 0.915
ENSG00000133740 0.00941 0.05298 0.859 115 0.999 0.00941 0.05298 0.859 115 0.999
ENSG00000133742 0.07349 0.03946 0.0625 119 0.0558 0.07349 0.03946 0.0625 119 0.0558
ENSG00000133773 0.01549 0.03903 0.691 116 0.911 0.01549 0.03903 0.691 116 0.911
ENSG00000133789 0.07598 0.03558 0.0327 118 0.68 0.07598 0.03558 0.0327 118 0.68
ENSG00000133794 0.0116 0.03577 0.746 121 0.943 0.0116 0.03577 0.746 121 0.943
ENSG00000133800 0.03391 0.03512 0.334 125 0.686 0.03391 0.03512 0.334 125 0.686
ENSG00000133805 0.00853 0.03542 0.81 119 0.91 0.00853 0.03542 0.81 119 0.91
ENSG00000133808 0.03293 0.03561 0.355 117 0.762 0.03293 0.03561 0.355 117 0.762
ENSG00000133812 -0.01911 0.03544 0.59 122 0.504 -0.01911 0.03544 0.59 122 0.504
ENSG00000133816 0.03582 0.05433 0.51 108 0.999 0.03582 0.05433 0.51 108 0.999
ENSG00000133818 -0.04424 0.06056 0.465 109 1 -0.04424 0.06056 0.465 109 1
ENSG00000133835 -0.01946 0.03893 0.617 119 0.938 -0.01946 0.03893 0.617 119 0.938
ENSG00000133858 -0.02682 0.03952 0.497 117 0.78 -0.02682 0.03952 0.497 117 0.78
ENSG00000133872 -0.11809 0.0387 0.00228 120 0.978 -0.11809 0.0387 0.00228 120 0.978
ENSG00000133874 -0.04214 0.03518 0.231 124 0.906 -0.04214 0.03518 0.231 124 0.906
ENSG00000133884 0.02768 0.03535 0.434 122 0.792 0.02768 0.03535 0.434 122 0.792
ENSG00000133895 0.0031 0.03564 0.931 118 0.972 0.0031 0.03564 0.931 118 0.972
ENSG00000133935 0.05189 0.03588 0.148 120 0.872 0.05189 0.03588 0.148 120 0.872
ENSG00000133937 -0.00551 0.03595 0.878 123 0.966 -0.00551 0.03595 0.878 123 0.966
ENSG00000133943 0.00326 0.03905 0.933 117 0.952 0.00326 0.03905 0.933 117 0.952
ENSG00000133958 0.00965 0.04015 0.81 119 0.998 0.00965 0.04015 0.81 119 0.998
ENSG00000133961 -0.05673 0.03549 0.11 120 0.887 -0.05673 0.03549 0.11 120 0.887
ENSG00000133962 0.03239 0.03811 0.395 126 0.995 0.03239 0.03811 0.395 126 0.995
ENSG00000133983 -0.03357 0.03846 0.383 122 0.99 -0.03357 0.03846 0.383 122 0.99
ENSG00000133985 -0.02777 0.04419 0.53 113 0.998 -0.02777 0.04419 0.53 113 0.998
ENSG00000133997 0.0143 0.03503 0.683 125 0.96 0.0143 0.03503 0.683 125 0.96
ENSG00000134001 -0.00228 0.03496 0.948 125 0.996 -0.00228 0.03496 0.948 125 0.996
ENSG00000134013 0.0034 0.05373 0.95 111 1 0.0034 0.05373 0.95 111 1
ENSG00000134014 -0.00475 0.03567 0.894 118 0.999 -0.00475 0.03567 0.894 118 0.999
ENSG00000134020 0.05048 0.0364 0.165 120 0.994 0.05048 0.0364 0.165 120 0.994
ENSG00000134028 -0.01161 0.03906 0.766 116 0.998 -0.01161 0.03906 0.766 116 0.998
ENSG00000134030 -0.0324 0.03979 0.415 123 0.962 -0.0324 0.03979 0.415 123 0.962
ENSG00000134046 -0.00908 0.03545 0.798 119 0.927 -0.00908 0.03545 0.798 119 0.927
ENSG00000134049 -0.03446 0.03496 0.324 126 0.869 -0.03446 0.03496 0.324 126 0.869
ENSG00000134056 0.01694 0.03512 0.63 123 0.926 0.01694 0.03512 0.63 123 0.926
ENSG00000134057 -0.02416 0.03552 0.496 118 0.987 -0.02416 0.03552 0.496 118 0.987
ENSG00000134058 0.00017 0.0726 0.998 90 1 0.00017 0.0726 0.998 90 1
ENSG00000134061 0.03434 0.03518 0.329 124 0.833 0.03434 0.03518 0.329 124 0.833
ENSG00000134070 -0.02807 0.03565 0.431 122 0.868 -0.02807 0.03565 0.431 122 0.868
ENSG00000134072 -0.02509 0.03517 0.476 124 0.978 -0.02509 0.03517 0.476 124 0.978
ENSG00000134077 0.03653 0.03517 0.299 123 0.981 0.03653 0.03517 0.299 123 0.981
ENSG00000134086 0.06023 0.03562 0.0908 123 0.988 0.06023 0.03562 0.0908 123 0.988
ENSG00000134107 -0.00774 0.03529 0.826 123 0.564 -0.00774 0.03529 0.826 123 0.564
ENSG00000134108 -0.03998 0.03519 0.256 122 0.915 -0.03998 0.03519 0.256 122 0.915
ENSG00000134109 -0.02431 0.03521 0.49 123 0.984 -0.02431 0.03521 0.49 123 0.984
ENSG00000134121 0.002 0.0352 0.955 123 0.946 0.002 0.0352 0.955 123 0.946
ENSG00000134138 0.03743 0.03611 0.3 124 0.902 0.03743 0.03611 0.3 124 0.902
ENSG00000134146 -0.00576 0.03849 0.881 124 0.986 -0.00576 0.03849 0.881 124 0.986
ENSG00000134152 -0.03684 0.03935 0.349 121 0.826 -0.03684 0.03935 0.349 121 0.826
ENSG00000134153 -0.09176 0.0395 0.0202 121 0.976 -0.09176 0.0395 0.0202 121 0.976
ENSG00000134183 0.02018 0.03526 0.567 123 0.87 0.02018 0.03526 0.567 123 0.87
ENSG00000134184 -0.07712 0.04153 0.0633 115 0.881 -0.07712 0.04153 0.0633 115 0.881
ENSG00000134186 0.01025 0.03512 0.771 124 0.989 0.01025 0.03512 0.771 124 0.989
ENSG00000134193 -0.01563 0.03526 0.657 123 0.927 -0.01563 0.03526 0.657 123 0.927
ENSG00000134198 0.02914 0.03552 0.412 118 0.624 0.02914 0.03552 0.412 118 0.624
ENSG00000134201 0.05631 0.03934 0.152 120 0.99 0.05631 0.03934 0.152 120 0.99
ENSG00000134202 -0.02042 0.03567 0.567 120 0.641 -0.02042 0.03567 0.567 120 0.641
ENSG00000134215 -0.00316 0.03568 0.929 118 0.929 -0.00316 0.03568 0.929 118 0.929
ENSG00000134222 -0.03898 0.03513 0.267 125 0.566 -0.03898 0.03513 0.267 125 0.566
ENSG00000134242 -0.00318 0.03518 0.928 123 0.986 -0.00318 0.03518 0.928 123 0.986
ENSG00000134243 0.03709 0.03539 0.295 120 0.977 0.03709 0.03539 0.295 120 0.977
ENSG00000134245 -0.0914 0.03607 0.0113 122 0.999 -0.0914 0.03607 0.0113 122 0.999
ENSG00000134247 -0.00553 0.03533 0.876 123 0.829 -0.00553 0.03533 0.876 123 0.829
ENSG00000134248 -0.07981 0.04018 0.047 112 0.969 -0.07981 0.04018 0.047 112 0.969
ENSG00000134250 -0.04625 0.03571 0.195 118 0.759 -0.04625 0.03571 0.195 118 0.759
ENSG00000134253 -0.04133 0.0351 0.239 124 0.984 -0.04133 0.0351 0.239 124 0.984
ENSG00000134255 -0.01202 0.03563 0.736 119 0.962 -0.01202 0.03563 0.736 119 0.962
ENSG00000134256 -0.03033 0.03508 0.387 125 0.741 -0.03033 0.03508 0.387 125 0.741
ENSG00000134262 -0.01022 0.03581 0.775 122 0.975 -0.01022 0.03581 0.775 122 0.975
ENSG00000134265 0.00726 0.05453 0.894 110 1 0.00726 0.05453 0.894 110 1
ENSG00000134278 -0.07936 0.03511 0.0238 124 0.902 -0.07936 0.03511 0.0238 124 0.902
ENSG00000134283 -0.00239 0.03511 0.946 124 0.641 -0.00239 0.03511 0.946 124 0.641
ENSG00000134285 0.02575 0.0357 0.471 119 0.954 0.02575 0.0357 0.471 119 0.954
ENSG00000134287 -0.01024 0.03536 0.772 123 0.799 -0.01024 0.03536 0.772 123 0.799
ENSG00000134291 0.03638 0.03527 0.302 124 0.998 0.03638 0.03527 0.302 124 0.998
ENSG00000134294 -0.06594 0.03592 0.0664 116 0.997 -0.06594 0.03592 0.0664 116 0.997
ENSG00000134297 -0.05709 0.07363 0.438 96 1 -0.05709 0.07363 0.438 96 1
ENSG00000134308 -0.06575 0.05983 0.272 111 1 -0.06575 0.05983 0.272 111 1
ENSG00000134313 0.09035 0.07015 0.198 96 1 0.09035 0.07015 0.198 96 1
ENSG00000134317 0.01345 0.03956 0.734 117 0.608 0.01345 0.03956 0.734 117 0.608
ENSG00000134318 0.02367 0.0355 0.505 118 0.994 0.02367 0.0355 0.505 118 0.994
ENSG00000134321 0.01006 0.03547 0.777 118 0.87 0.01006 0.03547 0.777 118 0.87
ENSG00000134323 0.0195 0.03589 0.587 126 0.687 0.0195 0.03589 0.587 126 0.687
ENSG00000134324 -0.00327 0.03503 0.926 125 0.509 -0.00327 0.03503 0.926 125 0.509
ENSG00000134326 -0.04301 0.03542 0.225 121 0.971 -0.04301 0.03542 0.225 121 0.971
ENSG00000134330 -0.01176 0.03865 0.761 123 0.965 -0.01176 0.03865 0.761 123 0.965
ENSG00000134333 -0.04663 0.03935 0.236 124 0.999 -0.04663 0.03935 0.236 124 0.999
ENSG00000134352 0.01124 0.03555 0.752 119 0.865 0.01124 0.03555 0.752 119 0.865
ENSG00000134363 0.05763 0.03572 0.107 123 0.798 0.05763 0.03572 0.107 123 0.798
ENSG00000134369 0.05126 0.03573 0.151 117 0.961 0.05126 0.03573 0.151 117 0.961
ENSG00000134371 0.00137 0.03509 0.969 124 0.934 0.00137 0.03509 0.969 124 0.934
ENSG00000134375 -0.02434 0.03534 0.491 121 0.814 -0.02434 0.03534 0.491 121 0.814
ENSG00000134419 0.01036 0.03525 0.769 125 0.997 0.01036 0.03525 0.769 125 0.997
ENSG00000134440 -0.04974 0.03601 0.167 120 0.974 -0.04974 0.03601 0.167 120 0.974
ENSG00000134444 -0.02124 0.0363 0.558 119 0.715 -0.02124 0.0363 0.558 119 0.715
ENSG00000134452 0.00408 0.03513 0.907 124 0.84 0.00408 0.03513 0.907 124 0.84
ENSG00000134453 0.00675 0.03536 0.849 121 0.79 0.00675 0.03536 0.849 121 0.79
ENSG00000134460 -0.01719 0.03528 0.626 121 0.99 -0.01719 0.03528 0.626 121 0.99
ENSG00000134461 0.01843 0.03568 0.605 118 0.566 0.01843 0.03568 0.605 118 0.566
ENSG00000134463 -0.12209 0.03554 0.000591 121 0.806 -0.12209 0.03554 0.000591 121 0.806
ENSG00000134470 0.00438 0.03568 0.902 118 0.982 0.00438 0.03568 0.902 118 0.982
ENSG00000134480 -0.04239 0.03571 0.235 117 0.986 -0.04239 0.03571 0.235 117 0.986
ENSG00000134489 -0.01779 0.03569 0.618 123 0.752 -0.01779 0.03569 0.618 123 0.752
ENSG00000134490 -0.02336 0.04077 0.567 113 0.968 -0.02336 0.04077 0.567 113 0.968
ENSG00000134504 0.00305 0.03562 0.932 123 0.98 0.00305 0.03562 0.932 123 0.98
ENSG00000134508 -0.02584 0.03523 0.463 122 0.963 -0.02584 0.03523 0.463 122 0.963
ENSG00000134516 0.007 0.03534 0.843 122 0.82 0.007 0.03534 0.843 122 0.82
ENSG00000134531 0.00373 0.03508 0.915 124 0.848 0.00373 0.03508 0.915 124 0.848
ENSG00000134532 0.00673 0.03605 0.852 119 0.661 0.00673 0.03605 0.852 119 0.661
ENSG00000134539 0.05055 0.03553 0.155 120 1 0.05055 0.03553 0.155 120 1
ENSG00000134545 -0.03617 0.03526 0.305 122 0.997 -0.03617 0.03526 0.305 122 0.997
ENSG00000134548 -0.09391 0.0747 0.209 94 1 -0.09391 0.0747 0.209 94 1
ENSG00000134571 0.00034 0.03618 0.992 116 0.672 0.00034 0.03618 0.992 116 0.672
ENSG00000134574 0.02407 0.03581 0.501 120 0.977 0.02407 0.03581 0.501 120 0.977
ENSG00000134575 -0.04613 0.03555 0.194 122 0.961 -0.04613 0.03555 0.194 122 0.961
ENSG00000134590 -0.02442 0.07043 0.729 94 1 -0.02442 0.07043 0.729 94 1
ENSG00000134594 -0.00746 0.06966 0.915 100 1 -0.00746 0.06966 0.915 100 1
ENSG00000134597 0.06605 0.07008 0.346 96 1 0.06605 0.07008 0.346 96 1
ENSG00000134602 -0.10005 0.06895 0.147 103 1 -0.10005 0.06895 0.147 103 1
ENSG00000134627 -0.01375 0.03527 0.697 123 0.983 -0.01375 0.03527 0.697 123 0.983
ENSG00000134644 -0.04695 0.0355 0.186 120 0.989 -0.04695 0.0355 0.186 120 0.989
ENSG00000134668 -0.00347 0.03556 0.922 119 0.711 -0.00347 0.03556 0.922 119 0.711
ENSG00000134684 0.00959 0.03587 0.789 121 0.736 0.00959 0.03587 0.789 121 0.736
ENSG00000134686 -0.04151 0.03519 0.238 123 0.525 -0.04151 0.03519 0.238 123 0.525
ENSG00000134690 -0.04402 0.0355 0.215 119 0.939 -0.04402 0.0355 0.215 119 0.939
ENSG00000134697 0.09561 0.0547 0.0805 105 1 0.09561 0.0547 0.0805 105 1
ENSG00000134698 0.00477 0.03929 0.903 120 0.983 0.00477 0.03929 0.903 120 0.983
ENSG00000134709 0.04279 0.03518 0.224 123 0.986 0.04279 0.03518 0.224 123 0.986
ENSG00000134716 0.02792 0.03533 0.429 123 0.925 0.02792 0.03533 0.429 123 0.925
ENSG00000134717 -0.12819 0.06014 0.0331 108 1 -0.12819 0.06014 0.0331 108 1
ENSG00000134744 0.02764 0.03566 0.438 118 0.745 0.02764 0.03566 0.438 118 0.745
ENSG00000134748 -0.00821 0.03542 0.817 120 0.986 -0.00821 0.03542 0.817 120 0.986
ENSG00000134755 0.01001 0.0372 0.788 115 0.354 0.01001 0.0372 0.788 115 0.354
ENSG00000134758 -0.00735 0.03531 0.835 121 0.773 -0.00735 0.03531 0.835 121 0.773
ENSG00000134759 -0.04997 0.05356 0.351 113 1 -0.04997 0.05356 0.351 113 1
ENSG00000134765 0.00199 0.03571 0.956 120 0.844 0.00199 0.03571 0.956 120 0.844
ENSG00000134769 0.01953 0.03565 0.584 116 0.683 0.01953 0.03565 0.584 116 0.683
ENSG00000134775 -0.00414 0.03908 0.916 122 0.899 -0.00414 0.03908 0.916 122 0.899
ENSG00000134779 0.02362 0.03948 0.55 118 0.943 0.02362 0.03948 0.55 118 0.943
ENSG00000134780 -0.03303 0.03552 0.352 118 0.999 -0.03303 0.03552 0.352 118 0.999
ENSG00000134802 -0.04075 0.03534 0.249 121 0.985 -0.04075 0.03534 0.249 121 0.985
ENSG00000134809 -0.01863 0.03523 0.597 123 0.629 -0.01863 0.03523 0.597 123 0.629
ENSG00000134812 0.04057 0.0606 0.503 96 1 0.04057 0.0606 0.503 96 1
ENSG00000134815 0.03639 0.03549 0.305 123 0.825 0.03639 0.03549 0.305 123 0.825
ENSG00000134824 -0.01853 0.03553 0.602 119 1 -0.01853 0.03553 0.602 119 1
ENSG00000134825 0.01746 0.03993 0.662 114 0.998 0.01746 0.03993 0.662 114 0.998
ENSG00000134827 0.10026 0.0536 0.0614 112 0.999 0.10026 0.0536 0.0614 112 0.999
ENSG00000134830 0.00972 0.03993 0.808 118 0.795 0.00972 0.03993 0.808 118 0.795
ENSG00000134851 -0.01044 0.03503 0.766 125 0.937 -0.01044 0.03503 0.766 125 0.937
ENSG00000134852 0.05116 0.03578 0.153 124 0.844 0.05116 0.03578 0.153 124 0.844
ENSG00000134853 -0.02458 0.0388 0.526 120 0.989 -0.02458 0.0388 0.526 120 0.989
ENSG00000134864 0.02665 0.04562 0.559 112 0.985 0.02665 0.04562 0.559 112 0.985
ENSG00000134871 -0.03652 0.03513 0.299 123 0.993 -0.03652 0.03513 0.299 123 0.993
ENSG00000134873 -0.04259 0.03553 0.231 125 0.726 -0.04259 0.03553 0.231 125 0.726
